cluster_id,size,internal_dispersion_mean,distance_to_grand_centroid,binding_expression_1,binding_expression_2,binding_expression_3,nearest_entity,nearest_entity_euclidean_distance,nearest_entity_cosine_similarity,entity_gap
45,45,0.7133,0.3508,The group has catastrophic millennial and dualistic beliefs that expect and promote conflict.,Some millennialists expect the transition to be accomplished catastrophically (catastrophic millennialism).,Catastrophic millennialism involves a radical dualism that expects conflict and can even promote it.,how the millennium comes violently,0.7207,0.6933,True
2,44,0.4991,0.6107,The Church of Scientology,The Church of Scientology,The Church of Scientology,the church of scientology,0.3061,0.959,False
7,44,0.6014,0.5125,the Solar Temple,the Solar Temple,the Solar Temple,the solar temple,0.3526,0.952,False
35,43,0.7367,0.2933,The New Organization,New Thought,New Thought,new thought,0.6142,0.7994,False
6,42,0.6486,0.4667,the Raelian religion,the Raëlian religion,the Raëlian religion,raelian religion,0.499,0.875,False
44,42,0.6699,0.4384,deprogramming,deprogramming,deprogramming,deprogramming,0.5254,0.8597,False
36,40,0.7305,0.3863,the Family Federation for World Peace and Unification,the United Front Against Fascism,the Association pour la Defense de la Familie et de l'Individual (ADFI),american family foundation,0.665,0.7502,True
9,39,0.5488,0.6138,NRMs,NRMs,NRMs,nrms,0.2896,0.9704,False
28,39,0.665,0.4681,the Order of the Solar Temple,the Order of the Solar Temple,Order of the Solar Temple,order of the solar temple,0.5233,0.8606,False
48,39,0.5906,0.4672,the ' cults ' apply real ' brainwashing.,cult/brainwashing,cultic brainwashing theory,conversion and 'brainwashing' in new religious movements,0.659,0.7537,True
3,32,0.6646,0.4583,"the 'suicide cult', Heaven's Gate","the 'suicide cult', Heaven's Gate",the collective suicide of Heaven's Gate,the heaven's gate suicides,0.4966,0.8792,False
53,31,0.7048,0.3511,it is a multidimensional process in which both individual and group have some degree of infl uence,sufficient condition for achieving acceptability in the long run.,requiring a high degree of conformity and commitment.,self transformation,0.7421,0.6713,True
56,30,0.6968,0.363,It is not just religious but a religion .,The conspicuous ability to subject science to religious interpretation and use.,No science can stand alone. It needs religion to make it meaningful.,christian faith,0.7191,0.6953,True
38,29,0.6995,0.3944,Scientology is a religion - and it certainly functions as a religion in the lives of most members of the Church of Scientology,"Scientology is an esoteric Gnostic system based upon the belief that the true self, called the Thetan, is trapped in MEST (matter, energy, space, and time), the visible world.",The Church of Scientology is a psychotherapeutically oriented religion founded in the mid twentieth century by L. Ron Hubbard (1911-1986).,what is scientology?,0.6386,0.7719,False
41,29,0.5745,0.4638,the cultic milieu,the cultic milieu,the cultic milieu,cultic milieu,0.4107,0.9191,False
17,28,0.7075,0.4577,Sahaja Yoga is an example.,Sahaja Yoga,Sahaja Yoga,sahaja yoga,0.5648,0.8363,False
22,28,0.7165,0.4245,"There are around 800,000 followers in total in various countries.","The movement has around 1,500 members and is actively proselytizing.",The movement claims to have at the time of writing more than 130 million members worldwide.,joining new religious movements,0.8039,0.602,True
49,28,0.6933,0.3533,The human being is a part of nature.,The Work is being completed.,He can see behind the faces of people.,snapping,0.698,0.7161,True
10,25,0.5044,0.5529,new religious movements (NRMs),new religious movements (NRMs),new religious movements (NRMs),new religious movements (nrms),0.2907,0.964,False
14,23,0.5683,0.5322,Christian Science,Christian Science,Christian Science,christian science,0.3681,0.9388,False
18,23,0.7245,0.4383,Mama Ji Sarkar is respected by his devotees as having been a true majzub,THE MAJZUB MAMA JI SARKAR,"Mama Ji Sarkar sarmast, do sauda dast-ba-dast!",the majzub mama ji sarkar,0.6326,0.7801,False
21,23,0.733,0.3829,The Aquarian Conspiracy (1980),The Aquarian Conspiracy: Personal and Social Transformation in the 1980s,The Molecules of Emotion (1998),moral re-armament,0.729,0.6845,True
33,23,0.6913,0.4764,African Independent Churches,African Independent Churches,African Church Incorporated,african independent churches,0.5275,0.8617,False
4,21,0.4202,0.6656,Heaven's Gate,Heaven's Gate,Heaven's Gate,heaven's gate,0.2068,0.9848,False
8,21,0.5776,0.5889,Falun Gong,Falun Gong,Falun Gong,falun gong,0.3764,0.9366,False
12,21,0.7268,0.4242,Godianism is a neo-African traditional movement with its Head Office in Nigeria.,Godianism propagates African Traditional Religion,Godianism actively organizes a panAfrican revival of traditional religion and culture,godianism,0.6836,0.7314,True
31,21,0.6843,0.4238,Neo-paganism,NeoPagans,Neo- Shamanism,neo- pagan,0.5091,0.8731,False
46,21,0.3939,0.6249,destructive cults,destructive cults,destructive cults,satanic cults,0.6694,0.7558,True
13,20,0.5445,0.5223,New Religious Movements (NRMs),New Religious Movements (NRMs),New Religious Movements (NRMs),new religious movements (nrms),0.3983,0.9228,False
29,20,0.6737,0.4745,The Rosicrucian Fellowship,The Ancient and Mystical Order Rosae Crucis,the Ancient and Mystical Order Rosae Crucis,rosicrucian order,0.5415,0.8485,False
