document_id,chunk_index,selection_stratum,selection_note,pre_screen_skip_code,document_integrity_flag,chunk_integrity_score,corrupted_region_lines,v1_count,v1_texts,v2_qwen3-4b_retained_count,v2_qwen3-4b_rejected_count,v2_qwen3-4b_rejection_codes,v2_qwen3-4b_texts,missed_expression,notes
dawson-2009-cults-and-new-religious-movements-a-reader,39,random,"clean text, multi-author reader",,,0.0,0,7,"subordination of individual interest, will, and autonomy in order to maximize collective solidarity || reborn on joining the group || dating one's birth from the moment of joining || new identity will be acquired incorporating as its central features the beliefs, norms and values of the collectivity joined || convert taking a new name || ego or former self must be completely repudiated || forsake all to mean not only the process of handing over all worldly possessions to the movement on joining, but also the renunciation of the past and of all self-interest",1,0,,"One in the flesh, one body, and one in spirit!",,
dawson-2009-cults-and-new-religious-movements-a-reader,197,random,"clean text, multi-author reader",,,0.0,0,23,"a form of social organization adequate to maintain solidarity || legitimacy enough among followers to exercise collective social control over the affairs of the community || sufficient economic and political viability || life within strong social boundaries in cognitive isolation from society at large || Without these circumstances, minor incidents of violence might occur within a countercultural communal movement or in a conflict between it and external adversaries, but it is difficult to imagine that they would trigger violence on a large scale. || These preconditions well describe Peoples Temple. || Yet if the preconditions are particularly conducive to violence, they are hardly sufficient. || Numerous apocalyptic and quasiapocalyptic religious communities - from Mother Ann Lee's Shakers to contemporary 'heavens on earth' like Seattle's Love Family and the Krishna farm in West Virginia (Hall 1978) - have all these internal characteristics without experiencing anything remotely like murder of enemies followed by collective suicide. || Thus, strongly bounded apocalyptic religious movements may be especially prone to external violence and mass suicide, but that outcome is extremely rare compared to the number of groups adequately described by the list of preconditions. || There must be specific additional precipitating factors that would result in murders and mass suicide. || In contemporary circumstances, the necessary precipitating factors would seem to be the . . . || If through the operation of these factors, the apocalyptic group's very capacity to persist comes into question, it would be under these conditions (and in a strong explanation, these conditions alone) that group leaders might unleash aggression toward detractors and use the device of mass suicide to cut off any external exercise of authority over the group. || How well does this general causal explanation capture the circumstances that led up to the murders and mass suicide at Jonestown? || Clearly, the proximate cause of murder and mass suicide was the refusal of Jim Jones, his staff, and the loyalists among his followers to brook compromise with opponents whom they believed (with some reason) were out to bring Jonestown as a community to an end. || Rather than submit to external powers that they regarded as illegitimate, they chose to stage the airstrip murders as revenge and shut out their opponents by ending their own lives. || After the fact, the narrative structure of myth carved the stigma of this massive carnage into infamy. || Jones became a megalomaniacal Antichrist; Peoples Temple, a cult of brainwashed robots; || the Concerned Relatives, tragic heroes who valiantly tried but failed to save their loved ones. || However, the mythic structure of this narrative depends on a particular analytic claim: that the avoidable carnage was solely a consequence of the acts of Jones and his accomplices. || It is by lifting the mantle on this claim that we come to the heart of the apocalypse at Jonestown. || Without the airstrip attack on Ryan and the others, the mass suicide would have lacked a credible rationale, whereas in the context of the airstrip murders Jones presented collective death as the only honorable collective choice in the face of certain subjugation to external authority. || In other words, the Jonestown leadership constructed the murders and mass suicide as a unity, but that unity was predicated upon the airstrip attack. || The attack itself was not an act of random violence: other than the perhaps accidental killing of a young girl who defected, the gunfire seems to have been carefully targeted toward individuals whom Jonestown principals regarded as their opponents in the ongoing struggle.",3,1,short_fragment_no_referent,a form of social organization adequate to maintain solidarity || Peoples Temple || the airstrip attack on Ryan and the others,,
lalich-2004-bounded-choicetrue-believers-and-charismatic-cults,53,random,known font-encoding/ligature problem document,,ligature_substitution,2.029,0,11,"We all came in contact with The Two and followed their urging || It was like my family was there || I was so warm and happy and comfortable || This is going to be great || We must be doing something wrong || They felt guilty, confused, and lost || They had given up everything, traveled miles to be saved, and suddenly The Two were gone || Some wept in ecstasy and relief || Always be there for your leaders || They managed to amass a group of followers who were willing to trust them || With time and experience, the lack of success noted by their W rst convert was replaced by an effective charismatic attraction",2,0,,We all came in contact with The Two and followed our urging to them. || It was like my family was there and I just wept,,
lalich-2004-bounded-choicetrue-believers-and-charismatic-cults,179,random,known font-encoding/ligature problem document,,ligature_substitution,1.471,0,12,"Dixon decided to draw the line on membership requirements || having members at different levels with different degrees of commitment was detrimental to the full-time cadres || Most part-time members were expelled, and the mass organizations were dissolved || The cadres closed ranks, and the organization contracted in size || this Menshevik purge, as it came to be called, was a signiWcant turning point in organizational life || The DWP's founding belief system was to build a revolutionary, feminist organization that would fight for real change in the daily lives of the U.S. working class, eventually leading to the advent of socialism || there was a great deal of emphasis on labor committees, workplace organizing, community efforts, and so forth || the DWP led a grassroots organization of nearly a thousand members who worked on local political issues; many of the peripheral members and supporters of that work were residents of the city's nonwhite communities || That was a genuine boon for the organization, as well as a morale booster for the militants || Over time, because of Dixon's disenchantment with local issues and working-class causes, which she felt were not making enough of an impact and were reformist rather than revolutionary in nature, the focus changed from local work to international causes || most members became increasingly distanced from what the DWP was espousing and from Dixon's aspirations || Dixon launched a new polemic in an attempt to establish herself once again as the sole upholder, this time, of the world working class",0,5,validation_flag_false,,,
lalich-2004-bounded-choicetrue-believers-and-charismatic-cults,216,random,known font-encoding/ligature problem document,,ligature_substitution,3.8,0,24,"four de W ning structural dimensions of the system || charismatic authority || speci W c goal || hoped-for e V ect || speci W c goal || process of personal transformation || desired e V ect || systems of control || speci W c goal || hoped-for e V ect || systems of in X uence || speci W c goal || methods of peer and leadership in X uence || desired e V ect || three-dimensional puzzle || very little happened by chance || reframing, or reinterpretation || highly controlled || blatant manipulation || required transformational process || explicit guidance || interpretive framing and reframing || impossible ideal || impossible ideal",0,2,validation_flag_false,,,
richardson-2018-definitions-of-cult-from-sociological-technical-to-popular-negat,3,random,"clean text, short article directly on defining 'cult'",,,0.0,0,17,"This definition clearly shows the problems associated with the new, popularlative and authoritarian || Calling such groups ""totalistic"" and || The emotionally charged terms used in the definition evidence the meaning of the term for those who employ it. || To call a group manipu""aggressive"" and saying that they systematically indoctrinate members adds to the baggage carried by popular use of the term. || There is little in the definition except for the ""new and unfamiliar in the U.S."" which resembles the traditional sociological definition of the term. || This popular use of the term does not refer to a ""small informal group lacking in a definite authority structure... spontaneous in development."" || The notion of communal is not part of the traditional definition, and aggressive recruitment seems at the odds with the notion of a small informal group with relatively amorphous boundaries of belief and behavior. || Thus the new definition of cult is a hodgepodge of elements which do not hang together in any logical sense, as did elements of the traditional definition. || The new use of the term cult has become widespread. Media use it indiscriminantly (see van Driel and Richardson, 1988), which evidences the success of the Anti-Cult Movement (Shupe and Bromley, 1980) in promoting its view of the world. || Professionals and lay persons who oppose the new religions use the term as frequently as possible, and in an ever-expanding way, as evidenced by the recent focus on activities of alleged ""satanic cults"" (Richardson, Best, and Bromley, 1991). || Even more interesting is growing use of the popular term in scholarly writings about new religions and related phenomena. || Some scholars attempt to avoid the term because of negative stereotyping which accompanies its use (Dillon and Richardson, 1991). || The term ""new religions"" or ""new religious movements"" has been developed as a somewhat amorphous term of art by some scholars. || Others, however, have, in a sense, given up to the inevitable and employ the term cult so that people who read their writings will know they are talking about phenomena popularly referred to as cults. || Thus the popular usage of the term has virtually swept the more technical and historical use of the term from writings both popular and scholarly. || Ellwood (1986) attempts to develop a definition of cult that combines some traditional concerns from the sociology of religion with the newer meaning of the term. || He admits (1986:217) to ""approaching the job phenomenologically...seek(ing) only to give a name to that which has already appeared and...defined itself by exhibiting special features or constellations of features.""",2,0,,"the new definition of cult is a hodgepodge of elements which do not hang together in any logical sense || the term has become a ""social weapon"" to use
against groups which are not viewed with favor",,
richardson-2018-definitions-of-cult-from-sociological-technical-to-popular-negat,4,random,"clean text, short article directly on defining 'cult'",,,0.0,0,17,"the word cult is so intimately intertwined with the popular connotations the word has acquired || The label has too often been used to isolate groups in a priori theological or social grounds || Ellwood's efforts to salvage the term || A group that presents a distinct alternative to dominant patterns within the society in fundamental areas of religious life || Possessing strong authoritarian and charismatic leadership || Oriented toward inducing powerful subjective experiences and meeting personal needs || requiring a high degree of conformity and commitment || A tendency to see itself as legitimated by a long tradition of wisdom or practice of which it is the current manifestation || This integrative effort is defended by Ellwood || it will apply more to newer religious movements in their first generation and subsequently become less applicable as they, through routinization of charisma and institutionalization, become something else sociologically || Ellwood also attempted to distinguish his delineation from the term sect || our definition allows the customary sociological distinction between cult and sect || Ellwood has made a valiant effort to define the term cult || He apparently is not satisfied with his efforts || I share his concerns || the term should be abandoned by scholars as currently being misleading and not very useful || For scholars to attempt to make use of a term with such strong and negative popular meanings seems to be folly",1,5,dangling_boundary;not_verbatim,requiring a high degree of conformity and commitment.,,
richardson-2018-definitions-of-cult-from-sociological-technical-to-popular-negat,5,random,"clean text, short article directly on defining 'cult'",,,0.0,0,10,"the term has such negative connotations || when an individual is asked to evaluate an object, person, or event, his or her judgment may be based upon a previously developed cognitive representation such as a schema || there is a negativity bias || general negative coverage of cults in the media || the term cult is a significant anchor || overwhelming bias against groups such as the Unification Church || subjects defined the person who joined the Unification Church as significantly less happy, less intelligent, and less responsible || Seventy-four percent offered a negative interpretation || 92% said their perceptions were based on news media accounts || Subjects tend to rate both the group, and the individual joining the group, in more negative terms if they are led to believe the group is a cult",1,0,,"the term cult is a significant anchor which
frames interpretations given to anything referred to by that term",,
2008-the-oxford-handbook-of-new-religious-movements-1,194,forced_audit_regression,"detached accent ('Hervieu-Le ´ger', flag) + off-topic 'cult apologist' sentence",,detached_accents,1.147,0,7,"Type II reports have also influenced Belgium || France remains the only staunch defender of the anti-cult attitude of the Type I reports in Western Europe || the question of cults has been 'overdramatized' in France || Hervieu-Le ´ger's theories on Europe, secularization, and 'cults' play a central role in contemporary Western European sociology of religion || Hervieu-Le ´ger is not what, in certain quarters, would be called a 'cult apologist' || some governmental cult-watching is acceptable || the question of cults has been 'overdramatized' in France",2,0,,"Type II reports have also influenced Belgium || French anti-cult law of May 30, 2001",,
card-2019-archaeology-and-new-religious-movements,1,forced_audit_regression,broken-CMap cipher text -> deterministic rejection only (resolved chunk 1: 2 corrupted lines),,cmap_cipher,9.819,2,5,"These religious beliefs are loosely put: contemporary Andean religious practices, invented traditions, and archaeological publications || The disciples of this new faith are quick to challenge the sanitized and romanticized visions of Tiwanaku's past || it remains to be seen whether this new iteration of Andean religion will provide a platform for a new indigeneity, or whether it will fade into oblivion with the Bolivian people's discontent with Morales || Religious proponents are increasingly challenging academic research on India and its religious past || I will describe some of the major controversies that in the past several decades have flared into increasingly virulent interactions between Hindutva proponents, indigenist theorists, and academic interpreters",0,0,,,,
clarke-2004-encyclopedia-of-new-religious-movements,585,forced_audit_regression,encyclopedia entry-style short fragments,,,0.0,0,12,"shepherd or discipler || pyramid-style system || submit voluntarily to the suggestions and advice || Submission potentially extended || Children submitted to parents, wives to husbands, and all to elders || received criticism from outsiders, former members and many within evangelical Christianity || regarded as unduly authoritarian and liable to abuse || paternalism was generally benign || admitted that their teaching had, interpreted wrongly, been used to exert unreasonable control || tried to distance themselves from negative images of shepherding || has been moderated substantially || present most notably in the discipling practices",2,1,short_fragment_no_referent,British House Church Movement || International Church of Christ,,
davis-and-hankins-2002-new-religious-movements-and-religious-liberty-in-america,105,forced_audit_regression,"contextless acknowledgement ('Well, perhaps to some extent.')",,,0.0,0,11,"divine right monarchs to assume headship over their national church and to dictate what was and was not acceptable in terms of doctrine, practice, and belief || Such spiritual despotism was exactly the reason the Puritans sailed for New England to establish their own city on a hill where neither king nor prince nor royally appointed bishop could dictate what they could or could not do in their practice of religion || The spirit of man is best left under the jurisdiction of communities of faith, not the government || it is this same acknowledgement that Bush makes by proposing that the government support faith-based charities without mandating strict religious conformity from every service provider || Religion must be kept vital and free of government restraint || So, does President Bush recognize the limitations of government in transforming society? || Well, perhaps to some extent. || He proposes to prohibit government from proselytizing by requiring that government money not be used for such purposes but rather only to administer the secular aspects of a program || But there is no limitation, nor could there be constitutionally, on a faith group using its own funds to proselytize-and to do it in a way that coordinates with the administration of the government-funded social program || Thus under the Bush plan government remains, at least indirectly, an agent to transform the human soul || It is the province of the religious community, not government, to provide services to the poor and needy in such a way that, through training in faith and practice, their innermost being is transformed spiritually",0,1,judge_rejected,,,
dawson-2009-cults-and-new-religious-movements-a-reader,133,forced_audit_regression,model truncation of a complete quote,,,0.0,0,18,"Middle-class culture strongly believes that to be a successful adult, a child must during these years separate from his family and establish his individualism || By toddlerhood what they are up to can clearly be seen || Toddlers test out all sorts of distinctions between themselves and others || Realistically though, pre-schoolers know themselves to be dependent on parents || When by the age of 5 or 6 the bonds are safely tied || How detachment is conducted depends on the quality of the attachment || Those who feel most dependent on parents may the more fiercely launch themselves away || Those who derive pleasure already from a degree of independence may separate from their parents || Of middle-class adolescents, for example, only about half go through the emotional storms || Of the 50 percent who show evidence of turmoil, again only half have worse than moderate problems || Lack of any apparent rebelliousness can indicate a failure to face the dilemmas of growing up || The word 'rebellion' summons forth images of unleashed criticism || There is no word that easily substitutes, so I will have to speak of rebellion when I really mean something that can be || A child who announces his weekend plans instead of asking permission is rebelling || So is a boy who wants his family to switch to nonphosphate detergents || A child is rebelling when he or she discovers Thoreau || Most teenagers enact much of their rebellion en masse || Rebellion is a process of distinguishing and distancing oneself from one's parents",0,0,,,,
dawson-2009-cults-and-new-religious-movements-a-reader,135,forced_audit_regression,"model rewrite (""self 'actualization'"")",,,0.0,0,10,"No radical departers felt committed to a value system at joining || Nothing they were doing made any sense || Radical departers feel they belong with no one, believe in nothing || Every joiner was at a low of self-esteem so devastating that there seemed to be no self at all || Teenagers want a self of their very own, unique, authentic, and separate from parents || The tasks that children must tackle to differentiate, rearrange, and fortify their sense of self begin with I || Preoccupation with internal and private psychological issues has led adults to accuse youth of excess narcissism || The message can make individuals oblivious of others' needs and blind to mutual dependency || Youth is selfish since society demands it || Society handing children a double-edged sword by demanding self 'actualization' prior to 20s",1,0,,No radical departers I have studied felt committed to a value system at the time of their joining.,,
lalich-2004-bounded-choicetrue-believers-and-charismatic-cults,213,forced_audit_regression,ligature substitution ('di Y cult') -> integrity_ligature_substitution,,ligature_substitution,2.009,0,19,"Leadership style in the DWP was signi W cantly harsher than that in Heaven's Gate. || Social psychologists recognize that overt means of control are less e V ective than subtle ones. || It is widely believed that using coercion will tend to decrease rather than enhance the ability to elicit obedience. || Encouraging people simply to comply is not as e V ective as drawing on an internalized sense of obligation. || Although much of the rule following became implicit in both groups, nonetheless, a very controlling environment existed in both as well. || Members expressed the type of internalized sense of commitment and identi W cation that exempli W es the true believer who does not require constant supervision, yet performs his or her duties and remains loyal to the group. || Dixon's harsher and more direct leadership style led her to be feared more than revered. || Consequently, perhaps it was easier for militants eventually to break the charismatic bond. || A more X exible form of relational authority, with its ongoing dialectic between leaders and followers, grants a more legitimate basis for authority-and, consequently, tends to engender less rebellion within the ranks. || Though Heaven's Gate students were more overtly controlled on a daily basis, Nettles and Applewhite's style of leadership was softer, subtler, and more indirect than Dixon's. || The two Heaven's Gate leaders were also more fallible. || At times they confessed that they did not know everything, and occasionally they appeared to be just as confused as their students, for example, if the Next Level did not come through with the expected event. || This was especially true of Applewhite after Nettles died. || This more sensitive leadership style allowed the students to feel a greater sense of loyalty toward and love for their leaders than was ever evident in the DWP . || These disparate attitudes were clearly evident in written documents and in interviews and discussions with former members of both groups. || Most of the deceased Heaven's Gate students spoke in their parting testimonials (and many other members and former members in interviews and elsewhere) of pleasant memories of Ti and/or Do and also referred to them with fondness, whereas no former DWP members expressed positive sentiments about their leader, Marlene Dixon. || a soft-sell approach tends to have a more W rmly binding e V ect. || it might be more di Y cult for members in groups with a softer style of authority to see through the veil of power and begin to question the motivation of their leaders, or to reevaluate their own commitment to the group. || This is, indeed, a double-edged sword.",1,1,validation_flag_false,a very controlling environment existed in both as well.,,
lalich-2004-bounded-choicetrue-believers-and-charismatic-cults,239,forced_audit_regression,overlong autobiographical / multiple claims,,ligature_substitution,1.153,0,5,"The Cadre Ideal: Origins and Development of a Political Cult || I was among the W rst rung of recruits to join in mid-1975 || I was a high-ranking member, consistently part of leadership bodies and the inner circle around the leader || I was assigned leadership of the Party's publishing house, was part of various executive councils and the Discipline and Control Board, and served as an aide to the leader, especially on international travel || I was among the W rst rung of recruits to join in mid-1975, immediately after the group's founding year, and remained a member until the demise of the group in late 1985 and its W nal dissolution in 1986",1,0,,The Cadre Ideal: Origins and Development of a Political Cult,,
melton-2014-encyclopedic-handbook-of-cults-in-america,10,forced_audit_regression,heading extracted as expression ('The Course of Growth.'),,,0.0,0,10,"Over ninety percent of those who join an alternative religion leave it within a few years || Over one million people took the basic course in Transcendental Meditation, but only a minority joined the TM organization, and the total American membership remains in the 10,000 to 20,000 range || Of that number fewer than 6,000 remain as members as of 1990 || While the cults grew appreciably during the 1970s, they still constitute a numerically small part of the American religious scene || The Course of Growth. While the growth of cults has not been alarming, it has been noticeable and raised questions of its causes || Some researchers have pointed to the social unrest of the 1960s and the pattern of emergent religions arising in times of social upheaval || New religions began their rise in the conservative 1950s and after 1965 began a new phase of growth that has continued unabated through the 1980s and shows no signs of slowing through the next decades || Social unrest theories also did very little to explain the different responses in Europe and Japan following the extreme social disintegration experienced by each after World War II || Other students, primarily critics of the new religions, claim the growth of the new religions to bea result of their use of new manipulative psychological techniques which attract and control (i.e., brainwash) youthful followers, many of whom join during the crises of adolescence || This explanation suffers from its lack of any empirical base demonstrating the mechanisms of the process and its inability to describe",2,0,,"Over ninety percent of
those who join an alternative religion leave it within a few years. || Over one million people
took the basic course in Transcendental Meditation, but only a minority
joined the TM organization, and the total American membership remains
in the 10,000 to 20,000 range.",,
tomkins-2010-the-clapham-sect-how-wilberforce-s-circle-transformed-britain,131,forced_audit_regression,relevance boundary (historical 'sect'),,,0.0,0,3,"she did not like the Clapham sect || the Thorntons, Wilberforces, V enns, and Stephens || happy holy band",1,0,,the Clapham sect,,
